Empresas autorizadas a explorar a modalidade lotérica de aposta de quota fixa a partir de 1º de janeiro de 2025 em âmbito nacional, conforme o disposto nas Leis nº 13.756, de 12 de dezembro de 2018, nº 14.790, de 29 de dezembro de 2023, e na regulamentação do Ministério da Fazenda.;;;;;;;;;;;;;;
65;SPA/MF nº 250, de 07 de fevereiro de 2025;HS DO BRASIL LTDA;47.123.407/0001-70;BET365;bet365.bet.br;0021/2024;;;;;;;;
66;SPA/MF nº 249, de 07 fevereiro de 2025;NVBT GAMING LTDA; 50.587.712/0001-27;NOVIBET;novibet.bet.br      ;0017/2024;;;;;;;;
67;SPA/MF nº 248, de 07 de fevereiro de 2025;NSX BETFAIR BRASIL S.A;55.229.080/0001-43;BETFAIR;betfair.bet.br;0014/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 2.291, de 09 de outubro de 2025);;;;;;;;;;;;;
68;SPA/MF nº 247, de 07 de fevereiro de 2025;VENTMEAR BRASIL S.A.;52.868.380/0001-84;SPORTINGBET;sportingbet.bet.br;0004/2024;;;;;;;;
;;;;BETBOO;betboo.bet.br;;;;;;;;;
69;SPA/MF nº 246, de 07 de fevereiro de 2025;KAIZEN GAMING BRASIL LTDA;46.786.961/0001-74;BETANO;betano.bet.br;0001/2024;;;;;;;;
70;"SPA/MF nº 136, de 22 de janeiro de 2025
";ESPORTES GAMING BRASIL LTDA;56.075.466/0001-00;ESPORTES DA SORTE;esportesdasorte.bet.br ;0030/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.559, de 16 de julho de 2025);;;ONABET;ona.bet.br;;;;;;;;;
;(Retificada em 18 de julho de 2025);;;LOTTU;lottu.bet.br;;;;;;;;;
71;SPA/MF nº 2.105, de 30 de dezembro de 2024;LINDAU GAMING BRASIL S.A.;50.550.511/0001-55;OLEYBET;oleybet.bet.br;0085/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 756, de 08 de abril de 2025);;;;;;;;;;;;;
;(E pela Portaria SPA/MF nº 418, de 13 de fevereiro de 2026);;;;;;;;;;;;;
;(E pela Portaria SPA/MF nº 1.334, de 12 de maio de 2026);;;;;;;;;;;;;
72;SPA/MF nº 2.103, de 30 de dezembro de 2024;BETBOOM LTDA;54.951.974/0001-80;BETBOOM;betboom.bet.br;0069/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.926, de 30 de junho de 2026);;;FREE;free.bet.br;;;;;;;;;
73;SPA/MF nº 2.102, de 30 de dezembro de 2024;A2FBR S.A.;56.147.145/0001-74;PINNACLE;pinnacle.bet.br;0067/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 799, de 23 de março de 2026);;;MATCHBOOK;matchbook.bet.br;;;;;;;;;
;;;; BETESPECIAL;betespecial.bet.br;;;;;;;;;
74;SPA/MF nº 2.101, de 30 de dezembro de 2024;A2FBR S.A.;56.147.145/0001-74;BOLSA DE APOSTA;bolsadeaposta.bet.br;0067/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 798, de 23 de março de 2026);;;FULLTBET;fulltbet.bet.br;;;;;;;;;
;;;;BETBRA ;betbra.bet.br;;;;;;;;;
