empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
ANA GAMING BRASIL S.A.,55933850000134,7K,7k.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,55933850,True
ANA GAMING BRASIL S.A.,55933850000134,CASSINO,cassino.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,55933850,True
ANA GAMING BRASIL S.A.,55933850000134,VERA,vera.bet.br,"SPA/MF nº 322, de 17 de fevereiro de 2025",0054/2024,55933850,True
HIPER BET TECNOLOGIA LTDA.,55404799000173,HIPERBET,hiper.bet.br,"SPA/MF nº 321, de 17 de fevereiro de 2025",0016/2024,55404799,True
EB INTERMEDIACOES E JOGOS S.A.,52639845000125,ESTRELABET,estrelabet.bet.br,"SPA/MF nº 320, de 17 de fevereiro de 2025",0012/2024,52639845,True
EB INTERMEDIACOES E JOGOS S.A.,52639845000125,VUPI,vupi.bet.br,"SPA/MF nº 320, de 17 de fevereiro de 2025",0012/2024,52639845,True
F12 DO BRASIL JOGOS ELETRONICOS LTDA,51897834000182,F12.BET,f12.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,51897834,True
F12 DO BRASIL JOGOS ELETRONICOS LTDA,51897834000182,LUVA.BET,luva.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,51897834,True
F12 DO BRASIL JOGOS ELETRONICOS LTDA,51897834000182,BRASIL.BET,brasil.bet.br,"SPA/MF nº 319, de 17 de fevereiro de 2025",0010/2024,51897834,True
BELL VENTURES DIGITAL LTDA,56638458000125,BANDBET,bandbet.bet.br,"SPA/MF nº 270, de 10 de fevereiro de 2025",0051/2024,56638458,True
NEXUS INTERNATIONAL LTDA,55078134000117,MEGAPOSTA,megaposta.bet.br,"SPA/MF nº 265, de 07 de fevereiro de 2025",0118/2024,55078134,True
OLAVIR LTDA,56873267000148,RIVALO,rivalo.bet.br,"SPA/MF nº 264, de 07 de fevereiro de 2025",0105/2024,56873267,True
STAKE BRAZIL LTDA,56525936000190,STAKE,stake.bet.br,"SPA/MF nº 263, de 07 de fevereiro de 2025",0079/2024,56525936,True
JOGO PRINCIPAL LTDA,56302709000104,GINGABET,ginga.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,56302709,True
JOGO PRINCIPAL LTDA,56302709000104,QGBET,qg.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,56302709,True
JOGO PRINCIPAL LTDA,56302709000104,VIVASORTE,vivasorte.bet.br,"SPA/MF nº 262, de 07 de fevereiro de 2025",0073/2024,56302709,True
BRILLIANT GAMING LTDA,56259060000188,AFUN,afun.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,56259060,True
BRILLIANT GAMING LTDA,56259060000188,AI,ai.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,56259060,True
BRILLIANT GAMING LTDA,56259060000188,6Z,6z.bet.br,"SPA/MF nº 261, de 07 de fevereiro de 2025",0052/2024,56259060,True
SORTENABET GAMING BRASIL S.A.,54989030000100,SORTENABET,sortenabet.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,54989030,True
SORTENABET GAMING BRASIL S.A.,54989030000100,BETOU,betou.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,54989030,True
SORTENABET GAMING BRASIL S.A.,54989030000100,BETFUSION,betfusion.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,54989030,True
LEVANTE BRASIL LTDA,55045663000114,SORTE ONLINE,sorteonline.bet.br,"SPA/MF nº 259, de 07 de fevereiro de 2025",0040/2024,55045663,True
LEVANTE BRASIL LTDA,55045663000114,LOTTOLAND,lottoland.bet.br,"SPA/MF nº 259, de 07 de fevereiro de 2025",0040/2024,55045663,True
