cnpj,cnpj_basico,empresa,n_autorizacoes,cnpj_dv_ok,portarias,n_marcas,marcas,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS,INFORMAÇÕES JUDICIAIS
55045663000114,55045663,LEVANTE BRASIL LTDA,2,True,"SPA/MF nº 259, de 07 de fevereiro de 2025",2,SORTE ONLINE | LOTTOLAND,,,,,
56061524000147,56061524,BETSPEED LTDA,3,True,"SPA/MF nº 258, de 07 de fevereiro de 2025",3,TIGER.BET | PQ777 | 5G,,,,,
56295104000125,56295104,BETESPORTE APOSTAS ON LINE LTDA,2,True,"SPA/MF nº 257, de 07 de fevereiro de 2025",2,BETESPORTE | LANCE DE SORTE,,,,,
56183358000151,56183358,SUPREMA BET LTDA,3,True,"SPA/MF nº 256, de 07 de fevereiro de 2025",3,SUPREMABET | MAXIMABET | ULTRABET,,,,,
56636543000154,56636543,CDA GAMING LTDA,3,True,"SPA/MF nº 255, de 07 de fevereiro de 2025",3,CASA DE APOSTAS | BET SUL | JOGO ONLINE,,,,,
54068631000171,54068631,SC OPERATING BRAZIL LTDA,2,True,"SPA/MF nº 254, de 07 de fevereiro de 2025",2,VBET | VIVARO,,,,,
56303755000110,56303755,H2 LICENSED LTDA,2,True,"SPA/MF nº 253, de 07 de fevereiro de 2025",2,SEUBET | H2 BET,,,,,
56212040000151,56212040,LUCKY GAMING LTDA,3,True,"SPA/MF nº 252, de 07 de fevereiro de 2025",3,4WIN | 4PLAY | PAGOL,,,,,
56001749000108,56001749,APOSTA GANHA LOTERIAS LTDA,2,True,"SPA/MF nº 251, de 07 de fevereiro de 2025",2,APOSTA GANHA | RECEBA,,,,,
47123407000170,47123407,HS DO BRASIL LTDA,1,True,"SPA/MF nº 250, de 07 de fevereiro de 2025",1,BET365,,,,,
50587712000127,50587712,NVBT GAMING LTDA,1,True,"SPA/MF nº 249, de 07 fevereiro de 2025",1,NOVIBET,,,,,
55229080000143,55229080,NSX BETFAIR BRASIL S.A,1,True,"SPA/MF nº 248, de 07 de fevereiro de 2025",1,BETFAIR,,,,,
52868380000184,52868380,VENTMEAR BRASIL S.A.,2,True,"SPA/MF nº 247, de 07 de fevereiro de 2025",2,SPORTINGBET | BETBOO,,,,,
46786961000174,46786961,KAIZEN GAMING BRASIL LTDA,1,True,"SPA/MF nº 246, de 07 de fevereiro de 2025",1,BETANO,,,,,
56075466000100,56075466,ESPORTES GAMING BRASIL LTDA,3,True,"SPA/MF nº 136, de 22 de janeiro de 2025",3,ESPORTES DA SORTE | ONABET | LOTTU,,,,,
50550511000155,50550511,LINDAU GAMING BRASIL S.A.,1,True,"SPA/MF nº 2.105, de 30 de dezembro de 2024",1,OLEYBET,,,,,
54951974000180,54951974,BETBOOM LTDA,2,True,"SPA/MF nº 2.103, de 30 de dezembro de 2024",2,BETBOOM | FREE,,,,,
