cnpj,empresa,marca,dominio,portaria,requerimento,dominio_pareado
54989030000100,SORTENABET GAMING BRASIL S.A.,BETOU,betou.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,True
54989030000100,SORTENABET GAMING BRASIL S.A.,BETFUSION,betfusion.bet.br,"SPA/MF nº 260, de 07 de fevereiro de 2025",0050/2024,True
55045663000114,LEVANTE BRASIL LTDA,SORTE ONLINE,sorteonline.bet.br,"SPA/MF nº 259, de 07 de fevereiro de 2025",0040/2024,True
55045663000114,LEVANTE BRASIL LTDA,LOTTOLAND,lottoland.bet.br,"SPA/MF nº 259, de 07 de fevereiro de 2025",0040/2024,True
56061524000147,BETSPEED LTDA,TIGER.BET,tiger.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,True
56061524000147,BETSPEED LTDA,PQ777,pq777.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,True
56061524000147,BETSPEED LTDA,5G,5g.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,True
56295104000125,BETESPORTE APOSTAS ON LINE LTDA,BETESPORTE,betesporte.bet.br,"SPA/MF nº 257, de 07 de fevereiro de 2025",0033/2024,True
56295104000125,BETESPORTE APOSTAS ON LINE LTDA,LANCE DE SORTE,lancedesorte.bet.br,"SPA/MF nº 257, de 07 de fevereiro de 2025",0033/2024,True
56183358000151,SUPREMA BET LTDA,SUPREMABET,suprema.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,True
56183358000151,SUPREMA BET LTDA,MAXIMABET,maxima.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,True
56183358000151,SUPREMA BET LTDA,ULTRABET,ultra.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,True
56636543000154,CDA GAMING LTDA,CASA DE APOSTAS,casadeapostas.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,True
56636543000154,CDA GAMING LTDA,BET SUL,betsul.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,True
56636543000154,CDA GAMING LTDA,JOGO ONLINE,jogoonline.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,True
54068631000171,SC OPERATING BRAZIL LTDA,VBET,vbet.bet.br,"SPA/MF nº 254, de 07 de fevereiro de 2025",0028/2024,True
54068631000171,SC OPERATING BRAZIL LTDA,VIVARO,vivaro.bet.br,"SPA/MF nº 254, de 07 de fevereiro de 2025",0028/2024,True
56303755000110,H2 LICENSED LTDA,SEUBET,seu.bet.br,"SPA/MF nº 253, de 07 de fevereiro de 2025",0027/2024,True
56303755000110,H2 LICENSED LTDA,H2 BET,h2.bet.br,"SPA/MF nº 253, de 07 de fevereiro de 2025",0027/2024,True
56212040000151,LUCKY GAMING LTDA,4WIN,4win.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,True
56212040000151,LUCKY GAMING LTDA,4PLAY,4play.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,True
56212040000151,LUCKY GAMING LTDA,PAGOL,pagol.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,True
56001749000108,APOSTA GANHA LOTERIAS LTDA,APOSTA GANHA,apostaganha.bet.br,"SPA/MF nº 251, de 07 de fevereiro de 2025",0022/2024,True
56001749000108,APOSTA GANHA LOTERIAS LTDA,RECEBA,receba.bet.br,"SPA/MF nº 251, de 07 de fevereiro de 2025",0022/2024,True
47123407000170,HS DO BRASIL LTDA,BET365,bet365.bet.br,"SPA/MF nº 250, de 07 de fevereiro de 2025",0021/2024,True
50587712000127,NVBT GAMING LTDA,NOVIBET,novibet.bet.br,"SPA/MF nº 249, de 07 fevereiro de 2025",0017/2024,True
55229080000143,NSX BETFAIR BRASIL S.A,BETFAIR,betfair.bet.br,"SPA/MF nº 248, de 07 de fevereiro de 2025",0014/2024,True
52868380000184,VENTMEAR BRASIL S.A.,SPORTINGBET,sportingbet.bet.br,"SPA/MF nº 247, de 07 de fevereiro de 2025",0004/2024,True
52868380000184,VENTMEAR BRASIL S.A.,BETBOO,betboo.bet.br,"SPA/MF nº 247, de 07 de fevereiro de 2025",0004/2024,True
46786961000174,KAIZEN GAMING BRASIL LTDA,BETANO,betano.bet.br,"SPA/MF nº 246, de 07 de fevereiro de 2025",0001/2024,True
56075466000100,ESPORTES GAMING BRASIL LTDA,ESPORTES DA SORTE,esportesdasorte.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,True
56075466000100,ESPORTES GAMING BRASIL LTDA,ONABET,ona.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,True
56075466000100,ESPORTES GAMING BRASIL LTDA,LOTTU,lottu.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,True
50550511000155,LINDAU GAMING BRASIL S.A.,OLEYBET,oleybet.bet.br,"SPA/MF nº 2.105, de 30 de dezembro de 2024",0085/2024,True
54951974000180,BETBOOM LTDA,BETBOOM,betboom.bet.br,"SPA/MF nº 2.103, de 30 de dezembro de 2024",0069/2024,True
54951974000180,BETBOOM LTDA,FREE,free.bet.br,"SPA/MF nº 2.103, de 30 de dezembro de 2024",0069/2024,True
56147145000174,A2FBR S.A.,PINNACLE,pinnacle.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,True
